Symbol,Date,Close
RY,1/2/2018,102.95
RY,1/3/2018,103.89
RY,1/4/2018,104.89
RY,1/5/2018,104.74
RY,1/8/2018,104.31
RY,1/9/2018,104.84
RY,1/10/2018,105.01
RY,1/11/2018,105.08
RY,1/12/2018,105.16
RY,1/15/2018,105.26
RY,1/16/2018,105.77
RY,1/17/2018,106.28
RY,1/18/2018,106.91
RY,1/19/2018,107.72
RY,1/22/2018,108.05
RY,1/23/2018,107.36
RY,1/24/2018,106.01
RY,1/25/2018,105.52
RY,1/26/2018,105.72
RY,1/29/2018,105.14
RY,1/30/2018,105.45
RY,1/31/2018,105.32
RY,2/1/2018,104.67
RY,2/2/2018,103.55
RY,2/5/2018,101.14
RY,2/6/2018,101.35
RY,2/7/2018,101.07
RY,2/8/2018,99.24
RY,2/9/2018,99.08
RY,2/12/2018,99.72
RY,2/13/2018,99.81
RY,2/14/2018,100.51
RY,2/15/2018,100.6
RY,2/16/2018,100.48
RY,2/20/2018,100.49
RY,2/21/2018,102.5
RY,2/22/2018,102.16
RY,2/23/2018,102.56
RY,2/26/2018,102.39
RY,2/27/2018,102.88
RY,2/28/2018,101.09
RY,3/1/2018,100.57
RY,3/2/2018,99.91
RY,3/5/2018,100.91
RY,3/6/2018,100.76
RY,3/7/2018,100.56
RY,3/8/2018,101.52
RY,3/9/2018,101.76
RY,3/12/2018,101.81
RY,3/13/2018,101.81
RY,3/14/2018,101.54
RY,3/15/2018,102.19
RY,3/16/2018,102.32
RY,3/19/2018,102.04
RY,3/20/2018,102.62
RY,3/21/2018,102.27
RY,3/22/2018,100.64
RY,3/23/2018,99.21
RY,3/26/2018,99.86
RY,3/27/2018,98.88
RY,3/28/2018,98.69
RY,3/29/2018,99.52
RY,4/2/2018,98.73
RY,4/3/2018,98.2
RY,4/4/2018,97.59
RY,4/5/2018,98.34
RY,4/6/2018,97.3
RY,4/9/2018,98.04
RY,4/10/2018,98.05
RY,4/11/2018,97.04
RY,4/12/2018,96.76
RY,4/13/2018,96.06
RY,4/16/2018,96.39
RY,4/17/2018,96.22
RY,4/18/2018,97
RY,4/19/2018,96.63
RY,4/20/2018,97.28
RY,4/23/2018,97.98
RY,4/24/2018,96.55
RY,4/25/2018,96.61
RY,4/26/2018,97.18
RY,4/27/2018,98.15
RY,4/30/2018,97.64
RY,5/1/2018,97.67
RY,5/2/2018,97.71
RY,5/3/2018,97.66
RY,5/4/2018,97.83
RY,5/7/2018,98.76
RY,5/8/2018,98.88
RY,5/9/2018,99.63
RY,5/10/2018,99.96
RY,5/11/2018,100.38
RY,5/14/2018,100.99
RY,5/15/2018,101.04
RY,5/16/2018,101.31
RY,5/17/2018,101.05
RY,5/18/2018,100.57
RY,5/22/2018,101.75
RY,5/23/2018,101.12
RY,5/24/2018,99.12
RY,5/25/2018,98.58
RY,5/28/2018,98.07
RY,5/29/2018,96.88
RY,5/30/2018,96.79
RY,5/31/2018,98
RY,6/1/2018,98.14
RY,6/4/2018,98.94
RY,6/5/2018,99.32
RY,6/6/2018,99.24
RY,6/7/2018,99.4
RY,6/8/2018,99.89
RY,6/11/2018,99.94
RY,6/12/2018,100.06
RY,6/13/2018,99.92
RY,6/14/2018,99.85
RY,6/15/2018,100.26
RY,6/18/2018,100.44
RY,6/19/2018,99.97
RY,6/20/2018,100.44
RY,6/21/2018,100.66
RY,6/22/2018,101.37
RY,6/25/2018,99.8
RY,6/26/2018,99.61
RY,6/27/2018,99.03
RY,6/28/2018,98.82
RY,6/29/2018,98.99
RY,7/3/2018,99.49
RY,7/4/2018,99.37
RY,7/5/2018,99.59
RY,7/6/2018,100.2
RY,7/9/2018,100.79
RY,7/10/2018,101.31
RY,7/11/2018,100.58
RY,7/12/2018,101.51
RY,7/13/2018,101.46
RY,7/16/2018,101.94
RY,7/17/2018,102
RY,7/18/2018,101.49
RY,7/19/2018,101.4
RY,7/20/2018,101.48
RY,7/23/2018,101.8
RY,7/24/2018,102.03
RY,7/25/2018,100.88
RY,7/26/2018,101.08
RY,7/27/2018,101.09
RY,7/30/2018,101.33
RY,7/31/2018,101.55
RY,8/1/2018,101.81
RY,8/2/2018,101.47
RY,8/3/2018,101.42
RY,8/7/2018,100.51
RY,8/8/2018,101.16
RY,8/9/2018,101.89
RY,8/10/2018,101.3
RY,8/13/2018,101.36
RY,8/14/2018,102.1
RY,8/15/2018,101.48
RY,8/16/2018,102
RY,8/17/2018,102.8
RY,8/20/2018,102.9
RY,8/21/2018,102.59
RY,8/22/2018,103.97
RY,8/23/2018,103.68
RY,8/24/2018,103.64
RY,8/27/2018,103.96
RY,8/28/2018,103.81
RY,8/29/2018,104.49
RY,8/30/2018,104.78
RY,8/31/2018,103.66
RY,9/4/2018,103.77
RY,9/5/2018,103.76
RY,9/6/2018,104.06
RY,9/7/2018,103.58
RY,9/10/2018,103.65
RY,9/11/2018,103.75
RY,9/12/2018,103.18
RY,9/13/2018,103
RY,9/14/2018,103.07
RY,9/17/2018,103.52
RY,9/18/2018,103.95
RY,9/19/2018,103.99
RY,9/20/2018,104.55
RY,9/21/2018,104.09
RY,9/24/2018,104.34
RY,9/25/2018,104.43
RY,9/26/2018,104.38
RY,9/27/2018,104.55
RY,9/28/2018,103.54
RY,10/1/2018,103.6
RY,10/2/2018,102.91
RY,10/3/2018,103.11
RY,10/4/2018,103.38
RY,10/5/2018,102.89
RY,10/9/2018,102.31
RY,10/10/2018,100.7
RY,10/11/2018,98.7
RY,10/12/2018,98.78
RY,10/15/2018,98.4
RY,10/16/2018,99.66
RY,10/17/2018,99.98
RY,10/18/2018,98.96
RY,10/19/2018,99
RY,10/22/2018,98.26
RY,10/23/2018,98.44
RY,10/24/2018,94.6
RY,10/25/2018,94.73
RY,10/26/2018,94.49
RY,10/29/2018,94.02
RY,10/30/2018,95.39
RY,10/31/2018,95.92
RY,11/1/2018,95.86
RY,11/2/2018,95.75
RY,11/5/2018,95.64
